Iteration,Slotting,Batching,Routing,Total Distance Walked (m),Total Time (min),Average Picker Distance (m),Average Picker Time (min),Max Picker Distance (m),Min Picker Distance (m),Average Orders per Picker,Average Lines per Order,Average Batch Size,SKU Overlap,Average Aisles Visited,Average Penetration Depth,Picks by Class (%),Average Distance to A-class SKU,Orders Variance,Lines Variance,Distance Variance
1,AffinitySlotting,GreedyProximityBatching,SideGroupedRouting,973.25,88.96111111111112,194.65,17.79222222222222,329.25,85.75,25.0,3.912,25.0,24,7.0,16.357142857142858,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",,0,869.2,11868.675
2,AffinitySlotting,GreedyProximityBatching,SideGroupedRouting,1511.75,122.92777777777778,302.35,24.58555555555556,399.75,125.75,25.0,4.56,25.0,21,8.0,18.25,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",,0,1947,13549.675
3,AffinitySlotting,GreedyProximityBatching,SideGroupedRouting,1191.75,102.15,238.35,20.43,291.75,187.25,25.0,3.768,25.0,26,7.5,17.0,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",,0,616.7,1371.175
4,AffinitySlotting,GreedyProximityBatching,SideGroupedRouting,1078.25,93.62777777777778,215.65,18.725555555555555,287.75,133.75,25.0,4.264,25.0,22,6.75,17.814814814814813,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",,0,1025.3,6036.05
5,AffinitySlotting,GreedyProximityBatching,SideGroupedRouting,1043.25,89.51666666666667,208.65,17.903333333333332,265.75,133.25,25.0,3.832,25.0,17,6.5,17.307692307692307,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",,0,1418.2,3817.675
6,AffinitySlotting,GreedyProximityBatching,SideGroupedRouting,1172.75,96.72777777777777,234.55,19.345555555555553,293.25,105.25,25.0,3.264,25.0,19,6.25,18.16,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",,0,842.8,5931.45
7,AffinitySlotting,GreedyProximityBatching,SideGroupedRouting,1257.25,102.93888888888888,251.45,20.587777777777777,293.25,143.25,25.0,3.448,25.0,21,7.0,19.214285714285715,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",,0,1238.2,3736.075
8,AffinitySlotting,GreedyProximityBatching,SideGroupedRouting,948.75,77.75,189.75,15.55,263.25,13.75,25.0,2.816,25.0,5,6.0,18.5,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",,0,1142.3,10420.75
9,AffinitySlotting,GreedyProximityBatching,SideGroupedRouting,996.75,85.15,199.35,17.029999999999998,317.25,19.75,25.0,3.88,25.0,18,6.5,16.615384615384617,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",,0,2445,12769.05
10,AffinitySlotting,GreedyProximityBatching,SideGroupedRouting,1144.25,102.09444444444445,228.85,20.41888888888889,297.25,113.25,25.0,3.904,25.0,26,7.25,16.79310344827586,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",,0,487.8,6348.8
1,AffinitySlotting,GreedyProximityBatching,SShapeRouting,1436.75,108.59444444444443,287.35,21.718888888888888,415.25,179.75,25.0,3.848,25.0,28,6.5,21.0,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",,0,457.2,13981.05
2,AffinitySlotting,GreedyProximityBatching,SShapeRouting,1405.25,109.22777777777779,281.05,21.845555555555556,349.25,209.75,25.0,4.608,25.0,29,7.5,21.0,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",,0,3178.2,3239.575
3,AffinitySlotting,GreedyProximityBatching,SShapeRouting,1498.25,108.96111111111112,299.65,21.79222222222222,371.25,153.25,25.0,3.64,25.0,20,7.5,21.0,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",,0,501,7746.8
4,AffinitySlotting,GreedyProximityBatching,SShapeRouting,1344.75,104.88333333333334,268.95,20.976666666666667,393.25,161.25,25.0,4.224,25.0,34,7.25,21.0,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",,0,1493.3,10780.95
5,AffinitySlotting,GreedyProximityBatching,SShapeRouting,1562.25,123.05,312.45,24.61,367.75,235.75,25.0,3.736,25.0,19,8.0,20.34375,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",,0,1358.8,4405.95
6,AffinitySlotting,GreedyProximityBatching,SShapeRouting,1219.25,93.76111111111112,243.85,18.752222222222223,323.25,217.25,25.0,3.608,25.0,19,7.0,21.0,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",,0,2410.7,1988.675
