Iteration,Slotting,Batching,Routing,Total Distance Walked (m),Total Time (min),Average Picker Distance (m),Average Picker Time (min),Max Picker Distance (m),Min Picker Distance (m),Average Orders per Picker,Average Lines per Order,Average Batch Size,SKU Overlap,Average Aisles Visited,Average Penetration Depth,Picks by Class (%),Average Distance to A-class SKU,Orders Variance,Lines Variance,Distance Variance
1,AffinitySlotting,GreedyProximityBatching,SideGroupedRouting,1017.75,89.28333333333333,203.55,17.85666666666667,315.75,101.25,25.0,3.896,25.0,24,7.5,17.733333333333334,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",,0,298.8,9465.075
2,AffinitySlotting,GreedyProximityBatching,SideGroupedRouting,1178.75,101.19444444444444,235.75,20.23888888888889,383.25,161.75,25.0,4.648,25.0,34,7.25,18.310344827586206,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",,0,3253.2,7312.25
3,AffinitySlotting,GreedyProximityBatching,SideGroupedRouting,1390.25,121.5611111111111,278.05,24.312222222222218,349.25,193.75,25.0,3.584,25.0,37,7.5,18.8,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",,0,1543.8,4530.95
4,AffinitySlotting,GreedyProximityBatching,SideGroupedRouting,1020.25,88.3388888888889,204.05,17.66777777777778,355.25,135.75,25.0,4.424,25.0,31,7.25,17.689655172413794,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",,0,1937.3,9086.95
5,AffinitySlotting,GreedyProximityBatching,SideGroupedRouting,1197.25,105.93888888888888,239.45,21.18777777777778,323.25,111.75,25.0,3.64,25.0,26,7.5,20.0,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",,0,1381,7856.075
6,AffinitySlotting,GreedyProximityBatching,SideGroupedRouting,1014.25,86.87222222222222,202.85,17.374444444444446,269.25,145.25,25.0,3.464,25.0,12,6.5,18.23076923076923,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",,0,1257.8,2130.8
7,AffinitySlotting,GreedyProximityBatching,SideGroupedRouting,975.75,85.35,195.15,17.07,305.75,103.75,25.0,3.168,25.0,19,6.5,20.0,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",,0,763.2,7936.675
8,AffinitySlotting,GreedyProximityBatching,SideGroupedRouting,1281.25,104.13888888888889,256.25,20.827777777777776,363.25,71.75,25.0,2.872,25.0,22,7.0,16.571428571428573,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",,0,297.2,14500.875
9,AffinitySlotting,GreedyProximityBatching,SideGroupedRouting,1109.75,92.99444444444445,221.95,18.59888888888889,265.25,69.75,25.0,3.736,25.0,26,6.5,19.076923076923077,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",,0,2194.8,7257.575
10,AffinitySlotting,GreedyProximityBatching,SideGroupedRouting,1260.25,104.00555555555556,252.05,20.801111111111116,331.25,161.25,25.0,4.08,25.0,30,7.25,18.586206896551722,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",,0,1826,6609.2
11,AffinitySlotting,GreedyProximityBatching,SideGroupedRouting,1177.75,99.83888888888889,235.55,19.967777777777776,281.75,131.75,25.0,4.056,25.0,24,7.75,18.096774193548388,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",,0,506.8,4577.075
12,AffinitySlotting,GreedyProximityBatching,SideGroupedRouting,1208.75,106.86111111111111,241.75,21.372222222222224,305.25,123.75,25.0,3.872,25.0,30,7.0,17.785714285714285,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",,0,884.7,6019.25
13,AffinitySlotting,GreedyProximityBatching,SideGroupedRouting,933.25,78.40555555555555,186.65,15.68111111111111,283.75,97.25,25.0,2.712,25.0,17,6.75,18.11111111111111,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",,0,710.7,7240.175
14,AffinitySlotting,GreedyProximityBatching,SideGroupedRouting,1364.75,109.66111111111111,272.95,21.932222222222222,363.25,121.25,25.0,3.592,25.0,31,7.25,19.75862068965517,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",,0,1485.2,10015.95
15,AffinitySlotting,GreedyProximityBatching,SideGroupedRouting,1082.25,90.38333333333334,216.45,18.076666666666664,335.75,7.75,25.0,4.88,25.0,20,5.75,19.782608695652176,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",,0,5576,21458.45
16,AffinitySlotting,GreedyProximityBatching,SideGroupedRouting,1254.75,104.21666666666665,250.95,20.84333333333333,321.25,127.75,25.0,3.896,25.0,28,6.5,19.846153846153847,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",,0,1190.3,7927.95
17,AffinitySlotting,GreedyProximityBatching,SideGroupedRouting,1283.75,102.86111111111111,256.75,20.572222222222226,387.25,97.75,25.0,3.504,25.0,20,7.25,19.20689655172414,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",,0,414.3,12754.875
18,AffinitySlotting,GreedyProximityBatching,SideGroupedRouting,1015.25,85.89444444444445,203.05,17.17888888888889,315.25,107.75,25.0,3.912,25.0,22,7.25,20.103448275862068,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",,0,1808.7,8457.075
19,AffinitySlotting,GreedyProximityBatching,SideGroupedRouting,1103.75,96.86111111111111,220.75,19.372222222222224,343.25,87.75,25.0,4.208,25.0,29,7.0,17.857142857142858,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",,0,1525.2,10892.375
20,AffinitySlotting,GreedyProximityBatching,SideGroupedRouting,965.25,86.45,193.05,17.290000000000003,269.25,127.25,25.0,3.224,25.0,16,7.0,16.214285714285715,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",,0,744.8,2543.075
21,AffinitySlotting,GreedyProximityBatching,SideGroupedRouting,1247.75,109.72777777777779,249.55,21.945555555555554,321.75,141.25,25.0,3.904,25.0,20,7.25,16.79310344827586,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",,0,1590.3,5938.075
22,AffinitySlotting,GreedyProximityBatching,SideGroupedRouting,1050.75,92.35,210.15,18.470000000000002,357.75,125.25,25.0,4.136,25.0,27,7.25,19.137931034482758,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",,0,1922.8,9210.05
23,AffinitySlotting,GreedyProximityBatching,SideGroupedRouting,840.25,75.67222222222222,168.05,15.134444444444444,291.75,87.75,25.0,4.208,25.0,24,6.25,15.4,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",,0,3779.2,11567.45
24,AffinitySlotting,GreedyProximityBatching,SideGroupedRouting,1220.75,106.46111111111112,244.15,21.29222222222222,295.25,125.75,25.0,4.216,25.0,26,7.5,17.0,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",,0,1655.3,4883.55
25,AffinitySlotting,GreedyProximityBatching,SideGroupedRouting,1116.75,99.14999999999999,223.35,19.829999999999995,291.75,127.75,25.0,3.368,25.0,15,8.0,16.1875,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",,0,1318.7,5200.8
26,AffinitySlotting,GreedyProximityBatching,SideGroupedRouting,995.75,85.79444444444444,199.15,17.15888888888889,273.25,161.75,25.0,3.856,25.0,22,7.25,17.96551724137931,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",,0,1518.3,2196.175
27,AffinitySlotting,GreedyProximityBatching,SideGroupedRouting,1192.25,96.1611111111111,238.45,19.23222222222222,333.25,155.25,25.0,3.528,25.0,22,7.75,20.483870967741936,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",,0,1537.7,4951.2
28,AffinitySlotting,GreedyProximityBatching,SideGroupedRouting,1104.25,93.5388888888889,220.85,18.70777777777778,349.25,169.25,25.0,3.648,25.0,23,7.5,17.4,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",,0,1467.2,5572.8
