Iteration,Slotting,Batching,Routing,Total Distance Walked (m),Total Time (min),Average Picker Distance (m),Average Picker Time (min),Max Picker Distance (m),Min Picker Distance (m),Average Orders per Picker,Average Lines per Order,Average Batch Size,SKU Overlap,Average Aisles Visited,Average Penetration Depth,Picks by Class (%),Average Distance to A-class SKU,Orders Variance,Lines Variance,Distance Variance
1,AffinitySlotting,GreedyProximityBatching,SideGroupedRouting,955.75,93.57222222222222,191.15,18.714444444444442,281.25,91.75,25.0,4.144,25.0,32,7.5,16.666666666666668,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",,0,894.8,6091.175
2,AffinitySlotting,GreedyProximityBatching,SideGroupedRouting,1409.75,118.32777777777778,281.95,23.665555555555557,359.25,159.75,25.0,4.472,25.0,42,7.75,19.580645161290324,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",,0,1360.7,5435.075
3,AffinitySlotting,GreedyProximityBatching,SideGroupedRouting,1127.25,93.71666666666667,225.45,18.743333333333332,355.75,167.25,25.0,4.28,25.0,30,7.25,18.17241379310345,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",,0,2109.5,5550.575
4,AffinitySlotting,GreedyProximityBatching,SideGroupedRouting,1087.75,95.83888888888889,217.55,19.167777777777776,357.75,51.25,25.0,4.568,25.0,28,6.75,20.555555555555557,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",,0,2469.2,13280.075
5,AffinitySlotting,GreedyProximityBatching,SideGroupedRouting,1133.25,92.18333333333334,226.65,18.436666666666667,351.25,127.25,25.0,3.272,25.0,20,6.5,18.923076923076923,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",,0,2274.2,9242.675
6,AffinitySlotting,GreedyProximityBatching,SideGroupedRouting,1026.25,91.80555555555556,205.25,18.361111111111107,297.75,153.25,25.0,3.368,25.0,15,7.5,17.533333333333335,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",,0,849.2,3101.75
7,AffinitySlotting,GreedyProximityBatching,SideGroupedRouting,1041.25,88.47222222222221,208.25,17.694444444444443,339.25,93.75,25.0,3.168,25.0,24,7.5,18.8,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",,0,762.2,12437.875
8,AffinitySlotting,GreedyProximityBatching,SideGroupedRouting,1277.25,108.05,255.45,21.61,329.25,155.25,25.0,2.752,25.0,20,7.25,17.275862068965516,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",,0,800.7,6314.075
9,AffinitySlotting,GreedyProximityBatching,SideGroupedRouting,1209.75,104.21666666666667,241.95,20.84333333333333,345.75,77.75,25.0,3.864,25.0,30,7.5,17.266666666666666,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",,0,2528.8,9739.075
10,AffinitySlotting,GreedyProximityBatching,SideGroupedRouting,1284.75,103.21666666666667,256.95,20.64333333333333,361.25,123.75,25.0,3.6,25.0,21,7.5,18.8,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",,0,1169,7865.45
11,AffinitySlotting,GreedyProximityBatching,SideGroupedRouting,1414.25,124.7611111111111,282.85,24.952222222222222,415.25,111.25,25.0,3.968,25.0,35,7.75,20.483870967741936,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",,0,128.7,17524.8
12,AffinitySlotting,GreedyProximityBatching,SideGroupedRouting,1046.25,89.25,209.25,17.85,319.25,131.75,25.0,3.624,25.0,20,7.0,16.714285714285715,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",,0,414.8,7163.25
13,AffinitySlotting,GreedyProximityBatching,SideGroupedRouting,1149.25,96.20555555555555,229.85,19.241111111111113,315.25,143.25,25.0,2.52,25.0,16,7.75,17.580645161290324,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",,0,1120.5,4268.675
14,AffinitySlotting,GreedyProximityBatching,SideGroupedRouting,980.25,85.11666666666666,196.05,17.023333333333333,319.75,63.75,25.0,4.0,25.0,18,7.5,17.4,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",,0,1809,15546.95
15,AffinitySlotting,GreedyProximityBatching,SideGroupedRouting,1129.75,97.43888888888888,225.95,19.487777777777776,329.25,129.75,25.0,4.536,25.0,35,7.0,17.071428571428573,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",,0,1788.3,10013.075
16,AffinitySlotting,GreedyProximityBatching,SideGroupedRouting,965.75,83.12777777777777,193.15,16.625555555555554,261.75,131.75,25.0,3.6,25.0,26,7.25,17.275862068965516,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",,0,1235.5,3453.175
17,AffinitySlotting,GreedyProximityBatching,SideGroupedRouting,1258.75,105.63888888888889,251.75,21.127777777777776,335.25,137.25,25.0,3.568,25.0,30,7.25,17.82758620689655,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",,0,693.2,8473.25
18,AffinitySlotting,GreedyProximityBatching,SideGroupedRouting,1265.75,100.46111111111112,253.15,20.092222222222222,329.75,9.75,25.0,3.44,25.0,24,7.0,19.5,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",,0,2868.5,19242.175
19,AffinitySlotting,GreedyProximityBatching,SideGroupedRouting,1218.75,100.41666666666667,243.75,20.083333333333332,329.25,111.75,25.0,4.2,25.0,21,7.5,18.733333333333334,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",,0,1536.5,6387.75
20,AffinitySlotting,GreedyProximityBatching,SideGroupedRouting,1055.25,89.11666666666666,211.05,17.823333333333334,247.25,119.75,25.0,3.528,25.0,19,6.75,15.814814814814815,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",,0,2144.2,3042.575
21,AffinitySlotting,GreedyProximityBatching,SideGroupedRouting,1135.75,99.57222222222224,227.15,19.914444444444445,331.25,105.75,25.0,3.992,25.0,26,7.25,18.17241379310345,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",,0,479.2,7368.675
