Iteration,Slotting,Batching,Routing,Total Distance Walked (m),Total Time (min),Average Picker Distance (m),Average Picker Time (min),Max Picker Distance (m),Min Picker Distance (m),Average Orders per Picker,Average Lines per Order,Average Batch Size,SKU Overlap,Average Aisles Visited,Average Penetration Depth,Picks by Class (%),Average Distance to A-class SKU,Orders Variance,Lines Variance,Distance Variance
1,AffinitySlotting,GreedyProximityBatching,SideGroupedRouting,1246.25,108.69444444444443,249.25,21.738888888888887,331.25,147.25,25.0,3.784,25.0,23,7.25,18.862068965517242,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",,0,1162.8,6708.0
1,AffinitySlotting,GreedyProximityBatching,SShapeRouting,904.25,66.7611111111111,180.85,13.352222222222222,367.75,23.75,25.0,3.552,25.0,12,6.25,21.0,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",,0,1405.2,26239.05
1,AffinitySlotting,GreedyProximityBatching,LargestGapRouting,1817.0926234535577,133.0465027434124,363.41852469071154,26.60930054868248,431.4463690894997,175.88734918494336,25.0,4.096,25.0,28,6.75,20.555555555555557,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",,0,684.8,11488.84549231568
1,AffinitySlotting,GreedyProximityBatching,HybridCombinedRouting,1461.75,111.81666666666665,292.35,22.36333333333333,421.25,143.75,25.0,4.12,25.0,39,7.25,20.310344827586206,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",,0,1367,10357.675
1,AffinitySlotting,SeedSavingsBatching,SideGroupedRouting,48.75,6.083333333333333,9.75,1.2166666666666666,9.75,9.75,25.0,3.8,25.0,1,1.0,7.0,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",,0,29,0.0
1,AffinitySlotting,SeedSavingsBatching,SShapeRouting,1040.25,79.78333333333333,208.05,15.956666666666667,337.75,101.75,25.0,3.656,25.0,15,5.75,21.0,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",,0,373.8,12268.45
1,AffinitySlotting,SeedSavingsBatching,LargestGapRouting,1186.1274909934832,83.35838868874407,237.22549819869664,16.671677737748816,403.16401859488883,116.47135954999578,25.0,3.584,25.0,16,5.75,19.52173913043478,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",,0,794.3,19164.094959352602
1,AffinitySlotting,SeedSavingsBatching,HybridCombinedRouting,1518.25,117.07222222222224,303.65,23.414444444444445,405.25,145.75,25.0,3.792,25.0,22,7.5,21.0,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",,0,1128.7,9894.55
1,AffinitySlotting,RoundRobinBatching,SideGroupedRouting,1348.25,114.9611111111111,269.65,22.99222222222222,295.25,207.25,25.0,4.008,25.0,28,8.0,18.1875,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",,0,380.2,1366.8
1,AffinitySlotting,RoundRobinBatching,SShapeRouting,1384.75,110.10555555555555,276.95,22.02111111111111,305.25,249.25,25.0,4.008,25.0,32,8.0,21.0,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",,0,380.2,733.45
