Iteration,Slotting,Batching,Routing,Total Distance Walked (m),Total Time (min),Average Picker Distance (m),Average Picker Time (min),Max Picker Distance (m),Min Picker Distance (m),Average Orders per Picker,Average Lines per Order,Average Batch Size,SKU Overlap,Average Aisles Visited,Average Penetration Depth,Picks by Class (%),Average Distance to A-class SKU,Orders Variance,Lines Variance,Distance Variance
1,AffinitySlotting,GreedyProximityBatching,SideGroupedRouting,1057.25,94.1611111111111,211.45,18.83222222222222,315.25,29.75,25.0,3.816,25.0,24,6.0,18.083333333333332,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",,0,479.8,13812.575
2,AffinitySlotting,GreedyProximityBatching,SideGroupedRouting,978.25,84.40555555555557,195.65,16.881111111111114,227.75,81.75,25.0,4.888,25.0,16,7.5,14.133333333333333,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",,0,5586.2,4058.675
3,AffinitySlotting,GreedyProximityBatching,SideGroupedRouting,1136.25,98.25,227.25,19.65,287.25,151.25,25.0,3.896,25.0,28,6.5,17.23076923076923,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",,0,1378.8,4608.0
4,AffinitySlotting,GreedyProximityBatching,SideGroupedRouting,837.25,70.27222222222223,167.45,14.054444444444446,295.25,7.75,25.0,3.592,25.0,16,7.25,18.517241379310345,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",,0,2699.2,21424.075
5,AffinitySlotting,GreedyProximityBatching,SideGroupedRouting,1209.75,104.21666666666665,241.95,20.84333333333333,337.75,167.25,25.0,3.656,25.0,31,6.75,16.925925925925927,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",,0,1272.8,7708.575
6,AffinitySlotting,GreedyProximityBatching,SideGroupedRouting,1142.25,98.71666666666665,228.45,19.743333333333332,353.25,165.25,25.0,3.48,25.0,12,7.75,17.193548387096776,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",,0,1461.5,5209.2
7,AffinitySlotting,GreedyProximityBatching,SideGroupedRouting,894.25,86.53888888888888,178.85,17.30777777777778,267.75,107.75,25.0,3.192,25.0,28,7.25,14.03448275862069,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",,0,549.2,6440.55
8,AffinitySlotting,GreedyProximityBatching,SideGroupedRouting,1235.25,105.45,247.05,21.09,317.75,149.25,25.0,2.736,25.0,23,7.5,19.666666666666668,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",,0,842.8,4032.075
9,AffinitySlotting,GreedyProximityBatching,SideGroupedRouting,1265.75,106.46111111111112,253.15,21.29222222222222,271.25,223.75,25.0,3.648,25.0,23,7.5,17.166666666666668,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",,0,1306.2,312.8
10,AffinitySlotting,GreedyProximityBatching,SideGroupedRouting,840.25,72.33888888888889,168.05,14.467777777777776,219.25,79.75,25.0,4.224,25.0,14,6.25,14.92,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",,0,2771.8,3401.95
1,AffinitySlotting,GreedyProximityBatching,SShapeRouting,743.75,55.19444444444444,148.75,11.038888888888888,349.25,23.75,25.0,3.544,25.0,9,5.25,21.0,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",,0,1980.8,25825.875
