Iteration,Slotting,Batching,Routing,Total Distance Walked (m),Total Time (min),Average Picker Distance (m),Average Picker Time (min),Max Picker Distance (m),Min Picker Distance (m),Average Orders per Picker,Average Lines per Order,Average Batch Size,SKU Overlap,Average Aisles Visited,Average Penetration Depth,Picks by Class (%),Average Distance to A-class SKU,Orders Variance,Lines Variance,Distance Variance
1,AffinitySlotting,GreedyProximityBatching,SideGroupedRouting,1232.75,105.39444444444443,246.55,21.078888888888887,327.25,133.75,25.0,3.512,25.0,27,6.75,17.814814814814813,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",,0,1220.7,6756.95
2,AffinitySlotting,GreedyProximityBatching,SideGroupedRouting,1100.75,91.79444444444444,220.15,18.358888888888888,321.25,103.75,25.0,4.216,25.0,29,6.75,20.925925925925927,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",,0,966.8,8362.05
3,AffinitySlotting,GreedyProximityBatching,SideGroupedRouting,1237.75,110.17222222222222,247.55,22.034444444444443,309.25,155.75,25.0,3.56,25.0,25,8.5,14.647058823529411,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",,0,1309.5,4263.075
4,AffinitySlotting,GreedyProximityBatching,SideGroupedRouting,904.75,81.77222222222221,180.95,16.354444444444443,285.75,121.25,25.0,4.44,25.0,26,6.0,16.666666666666668,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",,0,2067.5,5098.95
1,AffinitySlotting,GreedyProximityBatching,SShapeRouting,1280.75,100.79444444444444,256.15,20.15888888888889,393.25,49.75,25.0,3.872,25.0,26,6.25,21.0,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",,0,654.7,16475.55
2,AffinitySlotting,GreedyProximityBatching,SShapeRouting,1419.75,107.55,283.95,21.509999999999998,349.25,147.75,25.0,4.616,25.0,27,7.5,21.0,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",,0,3318.3,6267.575
3,AffinitySlotting,GreedyProximityBatching,SShapeRouting,926.25,71.58333333333333,185.25,14.316666666666666,323.75,23.75,25.0,3.344,25.0,15,6.75,21.0,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",,0,3170.8,22093.25
4,AffinitySlotting,GreedyProximityBatching,SShapeRouting,1326.25,103.80555555555556,265.25,20.76111111111111,393.25,49.75,25.0,4.56,25.0,37,6.75,21.0,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",,0,2322,16666.75
1,AffinitySlotting,GreedyProximityBatching,LargestGapRouting,1825.1637139143988,126.89252697587554,365.0327427828798,25.378505395175107,600.2907013068873,103.75,25.0,3.968,25.0,21,6.5,21.0,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",,0,746.2,31219.07497402463
2,AffinitySlotting,GreedyProximityBatching,LargestGapRouting,1657.1339080742835,121.15853129053964,331.4267816148567,24.231706258107927,537.8737208937781,209.22545958117,25.0,4.344,25.0,32,7.25,21.0,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",,0,1703.8,19322.111844787498
