Iteration,Slotting,Batching,Routing,Total Distance Walked (m),Total Time (min),Average Picker Distance (m),Average Picker Time (min),Max Picker Distance (m),Min Picker Distance (m),Average Orders per Picker,Average Lines per Order,Average Batch Size,SKU Overlap,Average Aisles Visited,Average Penetration Depth,Picks by Class (%),Average Distance to A-class SKU,Orders Variance,Lines Variance,Distance Variance
1,AffinitySlotting,GreedyProximityBatching,SideGroupedRouting,951.75,89.15,190.35,17.83,299.25,91.75,25.0,4.248,25.0,23,6.75,18.925925925925927,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",,0,1321.2,10800.675
2,AffinitySlotting,GreedyProximityBatching,SideGroupedRouting,1221.25,100.47222222222221,244.25,20.09444444444444,347.25,163.75,25.0,4.28,25.0,44,7.75,18.483870967741936,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",,0,639.5,6330.875
3,AffinitySlotting,GreedyProximityBatching,SideGroupedRouting,1132.75,93.50555555555555,226.55,18.70111111111111,337.75,155.75,25.0,3.984,25.0,32,7.25,18.862068965517242,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",,0,366.3,7395.2
