Iteration,Slotting,Batching,Routing,Total Distance Walked (m),Total Time (min),Average Picker Distance (m),Average Picker Time (min),Max Picker Distance (m),Min Picker Distance (m),Average Orders per Picker,Average Lines per Order,Average Batch Size,SKU Overlap,Average Aisles Visited,Average Penetration Depth,Picks by Class (%),Average Distance to A-class SKU,Orders Variance,Lines Variance,Distance Variance
1,AffinitySlotting,GreedyProximityBatching,SideGroupedRouting,1249.25,106.42777777777778,249.85,21.285555555555558,359.25,57.75,25.0,3.704,25.0,26,7.0,18.285714285714285,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",,0,206.3,15386.675
2,AffinitySlotting,GreedyProximityBatching,SideGroupedRouting,1168.75,101.97222222222221,233.75,20.394444444444442,303.25,37.75,25.0,4.56,25.0,23,7.25,18.655172413793103,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",,0,2083.5,12145.75
3,AffinitySlotting,GreedyProximityBatching,SideGroupedRouting,1165.25,99.22777777777779,233.05,19.845555555555556,311.25,91.75,25.0,3.88,25.0,36,6.75,18.037037037037038,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",,0,1261.5,11092.075
4,AffinitySlotting,GreedyProximityBatching,SideGroupedRouting,1012.25,87.16111111111111,202.45,17.432222222222222,329.75,105.75,25.0,3.952,25.0,30,6.75,18.11111111111111,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",,0,1286.7,9347.95
5,AffinitySlotting,GreedyProximityBatching,SideGroupedRouting,1191.25,101.47222222222221,238.25,20.29444444444444,327.25,83.75,25.0,3.76,25.0,20,7.25,19.275862068965516,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",,0,941.5,8375.375
6,AffinitySlotting,GreedyProximityBatching,SideGroupedRouting,818.75,72.19444444444444,163.75,14.43888888888889,249.25,101.25,25.0,3.312,25.0,16,6.0,15.0,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",,0,894.7,4320.25
7,AffinitySlotting,GreedyProximityBatching,SideGroupedRouting,1196.25,96.25,239.25,19.25,315.25,163.25,25.0,3.496,25.0,19,7.0,18.428571428571427,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",,0,1353.8,3458.375
8,AffinitySlotting,GreedyProximityBatching,SideGroupedRouting,1290.25,104.33888888888889,258.05,20.86777777777778,363.25,95.25,25.0,2.888,25.0,21,6.5,17.53846153846154,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",,0,810.2,14067.2
9,AffinitySlotting,GreedyProximityBatching,SideGroupedRouting,1106.75,97.92777777777778,221.35,19.58555555555556,319.25,21.75,25.0,3.68,25.0,34,7.5,17.333333333333332,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",,0,1361,13224.05
10,AffinitySlotting,GreedyProximityBatching,SideGroupedRouting,1058.75,93.8611111111111,211.75,18.772222222222222,297.25,157.25,25.0,3.88,25.0,30,7.75,18.096774193548388,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",,0,1526,3381.75
1,AffinitySlotting,GreedyProximityBatching,SShapeRouting,1204.25,97.42777777777778,240.85,19.485555555555557,349.25,149.75,25.0,3.808,25.0,22,7.0,21.0,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",,0,208.2,8056.05
2,AffinitySlotting,GreedyProximityBatching,SShapeRouting,1167.75,82.95,233.55,16.59,323.75,23.75,25.0,4.784,25.0,12,5.75,21.0,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",,0,4862.3,16584.575
3,AffinitySlotting,GreedyProximityBatching,SShapeRouting,1469.25,115.31666666666665,293.85,23.06333333333333,349.25,231.25,25.0,3.96,25.0,36,7.75,21.0,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",,0,623,2651.675
4,AffinitySlotting,GreedyProximityBatching,SShapeRouting,1234.75,95.4388888888889,246.95,19.08777777777778,327.25,157.25,25.0,4.384,25.0,28,7.5,21.0,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",,0,2618.3,5665.95
